k, silhouette, converge-time, silhouette-time, total-time
500,0.671193,607,16,697
505,0.671759,581,16,600
510,0.674047,587,16,606
515,0.676267,736,16,754
520,0.676404,774,16,792
525,0.679852,976,16,995
530,0.680532,766,16,784
535,0.679496,964,16,983
540,0.679476,980,16,999
545,0.68248,967,16,985
550,0.683261,784,16,803
555,0.684742,991,16,1010
560,0.685998,813,17,833
565,0.689998,1014,17,1033
570,0.691649,822,16,841
575,0.695112,1056,18,1077
580,0.697035,829,17,863
585,0.698571,1028,18,1048
590,0.698328,854,16,874
595,0.698049,825,17,844
600,0.700087,826,17,846
605,0.702062,1025,17,1045
610,0.703628,886,18,906
615,0.704804,1053,17,1073
620,0.703211,856,17,876
625,0.703126,870,19,891
630,0.705373,898,17,918
635,0.706127,1056,18,1077
640,0.707087,874,18,894
645,0.70704,1430,18,1450
650,0.709807,1427,18,1448
655,0.710161,1493,18,1513
660,0.714338,1646,18,1667
665,0.716884,1498,18,1519
670,0.717685,1716,18,1737
675,0.719288,1513,18,1535
680,0.720944,1726,18,1746
685,0.720896,1516,18,1537
690,0.721594,1578,18,1600
695,0.723197,1892,19,1913
700,0.724015,1559,19,1581
705,0.726489,1878,19,1901
710,0.727472,1781,19,1803
715,0.728478,1878,19,1900
720,0.729132,1558,20,1580
725,0.728776,1521,20,1544
730,0.728741,1531,20,1554
735,0.729359,1560,21,1584
740,0.731759,1587,21,1610
745,0.729741,1595,20,1618
750,0.729291,1601,20,1624
755,0.729359,1652,20,1675
760,0.731152,1628,20,1651
765,0.730968,1622,20,1645
770,0.73163,1661,22,1686
775,0.731644,1662,20,1685
780,0.731714,1687,20,1710
785,0.732212,1700,22,1724
790,0.733015,1712,21,1736
795,0.733063,1740,21,1766
800,0.733607,1701,21,1726
805,0.733386,1774,29,1805
810,0.733486,1774,21,1799
815,0.734874,1807,23,1834
820,0.734866,1773,22,1798
825,0.7346,1849,23,1875
830,0.733253,1842,23,1868
835,0.733043,1817,23,1843
840,0.73294,1879,23,1906
845,0.7365,1818,23,1844
850,0.735251,1833,25,1860
855,0.73862,1885,24,1912
860,0.737648,1903,23,1929
865,0.738075,1912,24,1941
870,0.739534,1979,23,2005
875,0.739974,2064,24,2091
880,0.740109,1929,24,1957
885,0.740729,1938,24,1965
890,0.742247,1888,24,1915
895,0.741154,1932,25,1959
900,0.739528,1939,24,1966
905,0.740816,1947,25,1975
910,0.739052,1994,25,2021
915,0.738817,2007,27,2038
920,0.739665,2014,27,2044
925,0.73885,2021,26,2050
930,0.741475,2017,25,2046
935,0.741197,2049,26,2080
940,0.743702,2048,26,2077
945,0.745283,1991,26,2020
950,0.745716,2021,26,2050
955,0.74752,1992,26,2022
960,0.747845,2041,26,2070
965,0.747245,2051,26,2080
970,0.748371,2058,27,2087
975,0.74955,2020,27,2049
980,0.748394,2448,26,2477
985,0.749619,2449,27,2479
990,0.749509,2614,27,2644
995,0.749395,2455,27,2488
