k, initialization, cluster-accumulator, cluster-position, cluster-for-point
10,74, 188, 0, 0
25,74, 248, 0, 3
50,74, 264, 0, 126
100,93, 93, 0, 146
200,76, 121, 0, 288
500,79, 66, 0, 968
1000,86, 3, 0, 1912
10,80, 111, 0, 0
25,93, 1060, 0, 22
50,99, 296, 0, 149
100,92, 151, 0, 304
200,91, 183, 0, 368
500,106, 0, 0, 574
1000,90, 0, 0, 1987
10,92, 130, 0, 0
25,117, 605, 0, 50
50,73, 180, 0, 91
100,74, 111, 0, 214
200,100, 165, 0, 332
500,76, 47, 0, 840
1000,75, 4, 1, 2505
10,74, 73, 0, 0
25,89, 335, 0, 0
50,94, 348, 0, 175
100,91, 118, 0, 238
200,90, 109, 0, 220
500,97, 0, 0, 1045
1000,93, 0, 0, 1699
10,96, 235, 0, 0
25,92, 127, 0, 0
50,107, 114, 0, 58
100,121, 128, 0, 234
200,127, 270, 0, 542
500,102, 0, 0, 420
1000,94, 0, 0, 1252
10,109, 108, 0, 0
25,98, 715, 0, 15
50,124, 352, 0, 177
100,137, 112, 0, 226
200,99, 206, 0, 414
500,141, 0, 0, 835
1000,140, 0, 0, 1399
10,93, 50, 0, 0
25,99, 323, 0, 0
50,92, 430, 0, 165
100,91, 78, 0, 158
200,93, 100, 0, 202
500,91, 0, 0, 851
1000,93, 0, 0, 1357
10,91, 520, 0, 0
25,93, 204, 0, 0
50,100, 182, 0, 92
100,94, 85, 0, 172
200,90, 155, 0, 312
500,93, 0, 0, 1695
1000,92, 0, 0, 1477
10,97, 96, 0, 0
25,95, 950, 0, 26
50,92, 195, 0, 98
100,91, 167, 0, 336
200,136, 216, 0, 434
500,98, 0, 0, 753
1000,91, 0, 0, 1271
10,129, 340, 0, 0
25,138, 677, 0, 0
50,139, 320, 0, 157
100,99, 185, 0, 372
200,91, 190, 0, 382
500,91, 0, 0, 867
1000,94, 0, 0, 1722
