k, silhouette, converge-time, silhouette-time, total-time
300,0.654825,189,6,302
301,0.654779,194,5,201
302,0.656313,189,5,195
303,0.657385,188,5,194
304,0.657188,319,5,326
305,0.65811,319,5,325
306,0.659052,321,5,328
307,0.660001,323,5,330
308,0.659756,322,5,328
309,0.660634,320,5,327
310,0.659935,321,5,328
311,0.659901,321,5,328
312,0.658529,313,5,319
313,0.658209,315,5,322
314,0.659395,313,5,319
315,0.659883,315,5,322
316,0.660654,313,5,320
317,0.660139,314,5,321
318,0.659686,314,6,321
319,0.660398,502,5,509
320,0.660035,500,6,507
321,0.659729,499,6,506
322,0.659963,501,6,508
323,0.659553,369,6,376
324,0.659966,368,5,375
325,0.658349,359,6,366
326,0.657766,357,5,364
327,0.657827,361,6,368
328,0.656895,360,5,367
329,0.65782,361,6,368
330,0.658951,363,5,370
331,0.658437,363,6,371
332,0.658517,367,5,374
333,0.658152,399,6,407
334,0.659577,367,6,374
335,0.659127,372,5,379
336,0.659042,366,5,373
337,0.659337,366,6,373
338,0.659386,370,6,377
339,0.660712,368,5,375
340,0.660537,392,6,398
341,0.661466,393,6,400
342,0.662089,393,6,400
343,0.662014,393,6,400
344,0.66228,394,6,401
345,0.661109,394,6,401
346,0.661073,397,6,404
347,0.661005,396,6,403
348,0.659441,398,6,405
349,0.660672,399,6,406
350,0.66132,400,6,407
351,0.661995,402,6,409
352,0.662521,402,6,409
353,0.66406,408,6,415
354,0.664132,402,6,409
355,0.66385,406,6,413
356,0.664002,408,6,415
357,0.66334,406,6,413
358,0.665442,411,6,418
359,0.665508,406,6,413
360,0.665597,411,6,418
361,0.665548,406,6,413
362,0.664538,410,6,417
363,0.664585,407,6,415
364,0.662862,410,6,417
365,0.662623,407,6,414
366,0.661302,407,6,414
367,0.661316,414,6,421
368,0.661104,553,6,561
369,0.661101,552,6,559
370,0.66131,556,6,563
371,0.661951,558,6,565
372,0.663049,558,6,565
373,0.662611,554,6,561
374,0.662294,558,6,566
375,0.661833,558,6,565
376,0.661597,559,6,567
377,0.661184,564,6,571
378,0.661418,564,6,571
379,0.662526,563,6,570
380,0.66145,566,6,573
381,0.661045,565,6,573
382,0.660514,568,6,575
383,0.659195,567,6,574
384,0.658387,567,6,574
385,0.658754,557,6,564
386,0.658425,562,6,569
387,0.658424,564,6,572
388,0.65863,564,6,571
389,0.657817,563,6,571
390,0.656392,565,6,573
391,0.655997,563,6,571
392,0.656383,566,6,573
393,0.655359,565,6,572
394,0.65389,565,6,572
395,0.653907,566,6,574
396,0.653822,569,6,577
397,0.652966,567,6,575
398,0.652677,265,6,272
399,0.652647,264,6,272
400,0.653407,264,6,272
401,0.653295,475,6,482
402,0.651729,268,6,275
403,0.651412,267,6,274
404,0.651154,270,6,278
405,0.652337,276,6,284
406,0.652894,277,6,285
407,0.652617,315,6,323
408,0.652091,320,6,328
409,0.651481,318,6,325
410,0.651566,319,6,327
411,0.651053,319,6,327
412,0.652701,322,6,329
413,0.65226,323,6,330
414,0.652181,332,6,339
415,0.652211,324,6,332
416,0.651443,327,6,334
417,0.650909,324,6,331
418,0.651088,326,6,334
419,0.651304,278,6,286
420,0.651275,281,6,289
421,0.650987,283,6,291
422,0.65025,337,6,345
423,0.650822,340,6,348
424,0.652105,341,6,348
425,0.652243,340,6,347
426,0.652902,339,6,347
427,0.652507,339,6,347
428,0.652333,339,6,347
429,0.65257,339,6,347
430,0.652115,339,6,346
431,0.65194,342,6,349
432,0.65228,341,6,349
433,0.65221,345,6,352
434,0.652459,345,6,353
435,0.651791,345,6,353
436,0.652982,365,6,372
437,0.651979,367,6,375
438,0.651137,367,6,375
439,0.652805,368,6,376
440,0.653925,371,6,379
441,0.653752,369,6,377
442,0.653346,369,6,377
443,0.653358,410,6,418
444,0.653437,425,6,433
445,0.653849,427,6,435
446,0.654954,414,6,422
447,0.655038,429,6,437
448,0.65401,428,6,436
449,0.653771,433,6,441
450,0.653024,430,6,438
451,0.652993,430,6,437
452,0.652403,429,6,437
453,0.652379,429,6,437
454,0.653311,417,6,425
455,0.652695,430,6,438
456,0.653959,431,6,438
457,0.655378,441,6,449
458,0.654777,429,6,437
459,0.654799,458,6,465
460,0.656291,470,6,477
461,0.656435,417,6,425
462,0.655905,432,6,440
463,0.655231,364,6,372
464,0.655092,364,6,372
465,0.654725,363,6,371
466,0.654763,364,6,372
467,0.656654,364,6,372
468,0.656949,367,6,375
469,0.657426,364,6,372
470,0.656818,363,6,371
471,0.65612,367,6,375
472,0.655927,367,6,375
473,0.654702,366,6,374
474,0.654543,365,6,373
475,0.655281,366,6,373
476,0.655252,376,6,384
477,0.656239,376,6,383
478,0.656173,376,6,384
479,0.656199,374,6,382
480,0.656454,378,6,386
481,0.65615,376,6,384
482,0.656501,378,7,386
483,0.655823,409,7,417
484,0.6557,408,7,416
485,0.656808,411,7,419
486,0.656982,411,7,419
487,0.655476,414,7,422
488,0.656231,414,7,422
489,0.656267,411,7,419
490,0.655634,414,7,422
491,0.655652,420,7,429
492,0.655555,420,7,429
493,0.656139,425,7,433
494,0.655106,426,7,435
495,0.65569,423,7,432
496,0.655349,423,7,431
497,0.653616,424,7,432
498,0.653667,425,7,433
499,0.6538,425,7,433
500,0.65379,425,7,434
501,0.653223,430,7,438
502,0.651986,427,7,435
503,0.651841,430,7,439
504,0.651607,567,7,576
505,0.651501,568,7,576
506,0.650792,572,7,580
