k, silhouette, converge-time, silhouette-time, total-time
10,0.451297,18,6286,6421
11,0.455716,30,6544,6575
12,0.434364,22,6795,6817
13,0.449702,26,7450,7477
14,0.444225,22,7820,7842
15,0.448919,31,8485,8516
16,0.451998,32,7501,7534
17,0.448288,32,9791,9824
18,0.434989,33,9726,9760
19,0.433353,35,10962,10998
20,0.463346,42,10773,10815
21,0.473619,18,12014,12032
22,0.468722,18,12079,12097
23,0.469529,20,12619,12640
24,0.455193,58,10618,10677
25,0.455997,25,13177,13203
26,0.471169,41,13555,13597
27,0.470354,43,14030,14074
28,0.457648,52,13665,13717
29,0.458336,52,14836,14888
30,0.456621,46,14838,14885
31,0.46164,40,15512,15554
32,0.465947,45,12980,13025
33,0.466778,44,16610,16655
34,0.47333,44,16877,16922
35,0.477748,44,17501,17547
36,0.48115,65,17795,17861
37,0.484836,60,18902,18963
38,0.483909,60,18913,18974
39,0.48216,38,19415,19455
40,0.478996,33,18841,18876
41,0.480128,34,20233,20268
42,0.474806,34,20486,20521
43,0.468852,26,20450,20477
44,0.467655,24,20608,20633
45,0.46662,24,21292,21317
46,0.464545,24,21364,21389
47,0.460084,23,21756,21780
48,0.463606,23,21147,21171
49,0.460866,24,22180,22205
